timestamp,Actual rating,Latency,Packet Drops,Errors,Idle jitter,Uptime,CPU,user,fakes,total,Credibility Rating,credibility,normalised rating,Reputation Score
2023-07-19 17:22:04+03:00,5,4.944022602154732,5.0,4.922404793222413,4.83740896533906,1.0000676009108753,4.817762713539018,0x37Ba95f652008C68d7A6770CB9649BFB81CD4e6a,12,29,100,95,100,99

2023-07-19 17:22:05+03:00,5,4.944022602154732,5.0,4.922404793222413,4.83740896533906,1.0000676009108753,4.817762713539018,0xC057e7f9b4D9a2CB80710C3aC558084d9F6a7342,0,29,100,98,100,99

2023-07-19 17:22:06+03:00,5,4.944022602154732,5.0,4.922404793222413,4.83740896533906,1.0000676009108753,4.817762713539018,0x829e2DE8f01933693252c98A3eDa9fBe74d5F2fB,0,28,100,98,100,99

2023-07-19 17:22:06+03:00,5,4.944022602154732,5.0,4.922404793222413,4.83740896533906,1.0000676009108753,4.817762713539018,0xB88BDD4d726E523fD4E1eeCE7a0A83f8143D8769,0,26,100,98,100,99

2023-07-19 17:23:00+03:00,5,4.941488126074377,5.0,4.925954505681142,4.842232095480776,1.0000675982068932,4.814924796962655,0x1b7B437ed3905d53394c1ec539DC7B9a846095fB,12,26,100,92,100,99

2023-07-19 17:23:00+03:00,2,4.941488126074377,5.0,4.925954505681142,4.842232095480776,1.0000675982068932,4.814924796962655,0xfe09bb45FfB1232E2A1CAC0C5767A6Ce316f474e,9,26,66,69,40,99

2023-07-19 17:23:01+03:00,2,4.941488126074377,5.0,4.925954505681142,4.842232095480776,1.0000675982068932,4.814924796962655,0xC876A442f2853d7C8af5B50f78f6daa99B12F5CD,14,29,52,55,40,99

2023-07-19 17:23:02+03:00,2,4.941488126074377,5.0,4.925954505681142,4.842232095480776,1.0000675982068932,4.814924796962655,0xC1683E71404223440439DbB12Da97147c65E59A7,14,30,54,64,40,99

2023-07-19 17:23:03+03:00,2,4.941488126074377,5.0,4.925954505681142,4.842232095480776,1.0000675982068932,4.814924796962655,0x412967a16806e37de0a721EbC2781BD4704505a9,11,30,64,67,40,99

2023-07-19 17:23:03+03:00,2,4.941488126074377,5.0,4.925954505681142,4.842232095480776,1.0000675982068932,4.814924796962655,0x37Ba95f652008C68d7A6770CB9649BFB81CD4e6a,13,30,57,79,40,99

2023-07-19 17:23:04+03:00,5,4.941488126074377,5.0,4.925954505681142,4.842232095480776,1.0000675982068932,4.814924796962655,0xC057e7f9b4D9a2CB80710C3aC558084d9F6a7342,0,30,100,98,100,99

2023-07-19 17:23:05+03:00,5,4.941488126074377,5.0,4.925954505681142,4.842232095480776,1.0000675982068932,4.814924796962655,0x829e2DE8f01933693252c98A3eDa9fBe74d5F2fB,0,29,100,98,100,99

2023-07-19 17:23:05+03:00,5,4.941488126074377,5.0,4.925954505681142,4.842232095480776,1.0000675982068932,4.814924796962655,0xB88BDD4d726E523fD4E1eeCE7a0A83f8143D8769,0,27,100,98,100,99

2023-07-19 17:23:02+03:00,2,4.941423544137802,5.0,4.926027459786545,4.841665411289639,1.0000675961789773,4.814077015945837,0xC1683E71404223440439DbB12Da97147c65E59A7,15,31,52,59,40,99

2023-07-19 17:23:03+03:00,2,4.941423544137802,5.0,4.926027459786545,4.841665411289639,1.0000675961789773,4.814077015945837,0x412967a16806e37de0a721EbC2781BD4704505a9,12,31,62,65,40,99

2023-07-19 17:23:03+03:00,2,4.941423544137802,5.0,4.926027459786545,4.841665411289639,1.0000675961789773,4.814077015945837,0x37Ba95f652008C68d7A6770CB9649BFB81CD4e6a,14,31,55,69,40,99

2023-07-19 17:23:04+03:00,5,4.941423544137802,5.0,4.926027459786545,4.841665411289639,1.0000675961789773,4.814077015945837,0xC057e7f9b4D9a2CB80710C3aC558084d9F6a7342,0,31,100,98,100,99

2023-07-19 17:23:05+03:00,5,4.941423544137802,5.0,4.926027459786545,4.841665411289639,1.0000675961789773,4.814077015945837,0x829e2DE8f01933693252c98A3eDa9fBe74d5F2fB,0,30,100,98,100,99

2023-07-19 17:23:05+03:00,5,4.941423544137802,5.0,4.926027459786545,4.841665411289639,1.0000675961789773,4.814077015945837,0xB88BDD4d726E523fD4E1eeCE7a0A83f8143D8769,0,28,100,98,100,99

2023-07-19 17:24:00+03:00,5,4.941525697924023,5.0,4.926493601859553,4.840499649478472,1.0000675941511223,4.813852289671637,0x1b7B437ed3905d53394c1ec539DC7B9a846095fB,12,27,100,95,100,99

2023-07-19 17:24:00+03:00,2,4.941525697924023,5.0,4.926493601859553,4.840499649478472,1.0000675941511223,4.813852289671637,0xfe09bb45FfB1232E2A1CAC0C5767A6Ce316f474e,10,27,63,66,40,99

2023-07-19 17:24:01+03:00,2,4.941525697924023,5.0,4.926493601859553,4.840499649478472,1.0000675941511223,4.813852289671637,0xC876A442f2853d7C8af5B50f78f6daa99B12F5CD,15,30,50,53,40,99

2023-07-19 17:24:02+03:00,2,4.941525697924023,5.0,4.926493601859553,4.840499649478472,1.0000675941511223,4.813852289671637,0xC1683E71404223440439DbB12Da97147c65E59A7,16,32,50,55,40,99

2023-07-19 17:24:02+03:00,2,4.941525697924023,5.0,4.926493601859553,4.840499649478472,1.0000675941511223,4.813852289671637,0x412967a16806e37de0a721EbC2781BD4704505a9,13,32,60,63,40,99

2023-07-19 17:24:03+03:00,2,4.941525697924023,5.0,4.926493601859553,4.840499649478472,1.0000675941511223,4.813852289671637,0x37Ba95f652008C68d7A6770CB9649BFB81CD4e6a,15,32,54,63,40,99

2023-07-19 17:24:04+03:00,5,4.941525697924023,5.0,4.926493601859553,4.840499649478472,1.0000675941511223,4.813852289671637,0xC057e7f9b4D9a2CB80710C3aC558084d9F6a7342,0,32,100,98,100,99

2023-07-19 17:24:05+03:00,5,4.941525697924023,5.0,4.926493601859553,4.840499649478472,1.0000675941511223,4.813852289671637,0x829e2DE8f01933693252c98A3eDa9fBe74d5F2fB,0,31,100,98,100,99

2023-07-19 17:24:05+03:00,5,4.941525697924023,5.0,4.926493601859553,4.840499649478472,1.0000675941511223,4.813852289671637,0xB88BDD4d726E523fD4E1eeCE7a0A83f8143D8769,0,29,100,98,100,99

2023-07-19 17:24:02+03:00,2,4.9414910516035215,5.0,4.92679953137373,4.840597587428805,1.0000675921233282,4.813744394479102,0xC1683E71404223440439DbB12Da97147c65E59A7,17,33,49,52,40,99

2023-07-19 17:24:02+03:00,2,4.9414910516035215,5.0,4.92679953137373,4.840597587428805,1.0000675921233282,4.813744394479102,0x412967a16806e37de0a721EbC2781BD4704505a9,14,33,58,61,40,99

2023-07-19 17:24:03+03:00,2,4.9414910516035215,5.0,4.92679953137373,4.840597587428805,1.0000675921233282,4.813744394479102,0x37Ba95f652008C68d7A6770CB9649BFB81CD4e6a,16,33,52,58,40,99

2023-07-19 17:24:04+03:00,5,4.9414910516035215,5.0,4.92679953137373,4.840597587428805,1.0000675921233282,4.813744394479102,0xC057e7f9b4D9a2CB80710C3aC558084d9F6a7342,0,33,100,98,100,99

2023-07-19 17:24:05+03:00,5,4.9414910516035215,5.0,4.92679953137373,4.840597587428805,1.0000675921233282,4.813744394479102,0x829e2DE8f01933693252c98A3eDa9fBe74d5F2fB,0,32,100,98,100,99

2023-07-19 17:24:05+03:00,5,4.9414910516035215,5.0,4.92679953137373,4.840597587428805,1.0000675921233282,4.813744394479102,0xB88BDD4d726E523fD4E1eeCE7a0A83f8143D8769,0,30,100,98,100,99

