timestamp,Latency,Packet Drops,Errors,Idle jitter,Uptime,CPU
2023-05-22 15:51:47+03:00,4096.3828,0.0,206.399998,271.1,5972038.5,11.787368999999998
2023-05-22 15:52:17+03:00,4208.363,0.0,209.200002,267.3,5972068.5,13.632126999999997
2023-05-22 15:52:47+03:00,3961.2243,0.0,198.63225,332.3,5972098.5,12.316590000000005
2023-05-22 15:53:17+03:00,3939.8249,0.0,201.968184,281.1,5972128.5,12.077962
2023-05-22 15:53:29+03:00,4049.3676,0.0,203.494791,256.0,5972138.5,13.169441000000006
2023-05-22 15:53:59+03:00,3934.2589,0.0,198.399512,246.9,5972168.5,11.668183999999997
2023-05-22 15:54:16+03:00,3881.6229,0.0,197.935962,258.5,5972188.5,12.525464999999997
2023-05-22 15:54:46+03:00,3978.4134,0.0,200.8,287.8,5972218.5,12.737814999999998
2023-05-22 16:27:33+03:00,60.7972312,0.0,0.675726,175.1,5974188.5,4.7428330000000045
2023-05-22 16:28:03+03:00,45.0774218,0.0,0.524314,176.0,5974218.5,4.450260999999998
2023-05-22 16:28:33+03:00,61.204825,0.0,0.9,169.6,5974248.5,5.056492000000006
2023-05-22 16:29:03+03:00,58.349871,0.0,0.7,172.0,5974278.5,4.748373000000001
2023-05-22 16:29:33+03:00,60.8521795,0.0,0.8,155.2,5974308.5,4.924851000000004
2023-05-22 16:30:03+03:00,62.797682,0.0,0.8000001,210.1,5974338.5,4.737831
2023-05-22 16:30:33+03:00,73.878165,0.0,0.8304523,158.3,5974368.5,5.344733000000005
2023-05-22 16:31:03+03:00,61.989044,0.0,0.8307237,177.9,5974398.5,4.560997
2023-05-22 16:31:33+03:00,48.568199,0.0,0.8,154.5,5974428.5,5.062976000000006
2023-05-22 16:32:03+03:00,60.633351,0.0,0.8,187.8,5974458.5,5.059685000000002
2023-05-22 16:32:33+03:00,54.3238367,0.0,0.8,208.9,5974488.5,4.642612
2023-05-22 16:33:03+03:00,70.6080398,0.0,0.7,173.4,5974518.5,4.766318999999996
2023-05-22 16:33:33+03:00,61.129456,0.0,0.6,147.2,5974548.5,4.534216999999998
2023-05-22 16:34:03+03:00,60.613432,0.0,0.9,176.5,5974578.5,4.461028999999996
2023-05-22 16:34:33+03:00,64.65788,0.0,0.6762754,158.5,5974608.5,4.965779999999995
2023-05-22 16:35:03+03:00,47.4191906,0.0,0.8,167.3,5974638.5,4.556301000000005
2023-05-22 16:35:33+03:00,60.1513362,0.0,0.73895,145.7,5974668.5,8.455864000000005
2023-05-22 16:36:03+03:00,53.4645261,0.0,0.5539738,158.4,5974698.5,5.209023999999999
2023-05-22 16:36:33+03:00,62.986164,0.0,0.9,137.8,5974728.5,4.449246000000002
2023-05-22 16:37:03+03:00,55.9273628,0.0,0.8,183.7,5974758.5,5.458155000000005
2023-05-22 16:37:33+03:00,64.8144312,0.0,0.8,201.8,5974788.5,5.1742729999999995
2023-05-22 16:38:03+03:00,59.95675,0.0,0.8,172.7,5974818.5,4.836757000000006
2023-05-22 16:38:33+03:00,53.0128206,0.0,0.8,155.0,5974848.5,4.425298999999995
2023-05-22 16:39:03+03:00,61.473865,0.0,0.6778544,145.7,5974878.5,4.857106000000002
2023-05-22 16:39:33+03:00,54.551546,0.0,0.523277,202.9,5974908.5,4.657166000000004
2023-05-22 16:40:03+03:00,61.9093057,0.0,0.8,155.8,5974938.5,4.351838999999998
2023-05-22 16:40:33+03:00,56.942511,0.0,0.8017673,156.310467,5974968.5,4.651583000000002
2023-05-22 16:41:03+03:00,60.8203202,0.0,0.8,150.9,5974998.5,4.451218999999995
2023-05-22 16:41:33+03:00,56.2508982,0.0,0.5,178.6,5975028.5,4.2719709999999935
2023-05-22 16:42:03+03:00,61.7694379,0.0,0.7000001,174.4,5975058.5,3.761572000000001
2023-05-22 16:42:33+03:00,48.6910958,0.0,0.8,151.697475,5975088.5,3.959772000000001
2023-05-22 16:43:03+03:00,57.4010379,0.0,0.5920305,169.9,5975118.5,4.451188000000002
2023-05-22 16:43:07+03:00,57.4010379,0.0,0.5920305,169.9,5975118.5,4.451188000000002
2023-05-22 16:43:37+03:00,60.822292,0.0,0.9,144.7,5975148.5,4.642960000000002
2023-05-22 16:44:07+03:00,59.6774844,0.0,0.7313362,150.7,5975178.5,4.229156000000003
2023-05-22 16:44:18+03:00,71.2814157,0.0,0.8684892,146.8,5975188.5,5.162567999999993
